trap_number_bait_removed,PARENT_KEY,KEY
153,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb/individual_traps/bait_questions/number_repeat_bait[1]
167,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb/individual_traps/bait_questions/number_repeat_bait[2]
190,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb,uuid:b2f909a6-2e8a-4fbc-a776-c770b07dacbb/individual_traps/bait_questions/number_repeat_bait[3]
,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141,uuid:b60984ef-97d5-44c5-b3bd-bb2f94beb141/individual_traps/bait_questions/number_repeat_bait[1]
55,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77/individual_traps/bait_questions/number_repeat_bait[1]
68,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77,uuid:51d9a86f-31a0-4ecc-bb02-853dceaa0f77/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9,uuid:726fb4f2-5faf-4e4d-9374-6d6d10ccb9e9/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c,uuid:a3439b8c-e022-45e7-8651-9327c76a5f0c/individual_traps/bait_questions/number_repeat_bait[1]
123,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/bait_questions/number_repeat_bait[1]
117,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5,uuid:3f6245e9-d6e6-4df5-947d-8601306b67c5/individual_traps/bait_questions/number_repeat_bait[2]
50,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a,uuid:34ace7e9-3752-458f-af31-5b8c80b8bd2a/individual_traps/bait_questions/number_repeat_bait[1]
6,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/bait_questions/number_repeat_bait[1]
9,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/bait_questions/number_repeat_bait[2]
48,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92,uuid:28d458a9-4aa4-49c3-9c2c-e6594f3eef92/individual_traps/bait_questions/number_repeat_bait[3]
152,uuid:70c77640-2361-4231-ab1b-8124ed0d131f,uuid:70c77640-2361-4231-ab1b-8124ed0d131f/individual_traps/bait_questions/number_repeat_bait[1]
105,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/bait_questions/number_repeat_bait[1]
142,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/bait_questions/number_repeat_bait[2]
60,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f/individual_traps/bait_questions/number_repeat_bait[1]
5,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/bait_questions/number_repeat_bait[1]
25,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/bait_questions/number_repeat_bait[1]
56,uuid:257984fb-423d-4d21-9bb7-601e8f03f262,uuid:257984fb-423d-4d21-9bb7-601e8f03f262/individual_traps/bait_questions/number_repeat_bait[1]
70,uuid:257984fb-423d-4d21-9bb7-601e8f03f262,uuid:257984fb-423d-4d21-9bb7-601e8f03f262/individual_traps/bait_questions/number_repeat_bait[2]
7,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/bait_questions/number_repeat_bait[1]
10,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/bait_questions/number_repeat_bait[2]
15,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/bait_questions/number_repeat_bait[3]
102,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/bait_questions/number_repeat_bait[1]
104,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/bait_questions/number_repeat_bait[2]
105,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/bait_questions/number_repeat_bait[3]
107,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/bait_questions/number_repeat_bait[4]
112,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/bait_questions/number_repeat_bait[5]
152,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/bait_questions/number_repeat_bait[1]
153,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/bait_questions/number_repeat_bait[2]
193,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/bait_questions/number_repeat_bait[3]
196,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/bait_questions/number_repeat_bait[4]
74,uuid:671f6839-e839-4dba-a512-6da75fed41d2,uuid:671f6839-e839-4dba-a512-6da75fed41d2/individual_traps/bait_questions/number_repeat_bait[1]
90,uuid:671f6839-e839-4dba-a512-6da75fed41d2,uuid:671f6839-e839-4dba-a512-6da75fed41d2/individual_traps/bait_questions/number_repeat_bait[2]
1,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[1]
2,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[2]
8,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[3]
9,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[4]
21,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[5]
23,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/bait_questions/number_repeat_bait[6]
,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476/individual_traps/bait_questions/number_repeat_bait[1]
59,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/bait_questions/number_repeat_bait[1]
80,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60/individual_traps/bait_questions/number_repeat_bait[1]
155,uuid:d23d750b-6e51-41e5-b64c-707764e26888,uuid:d23d750b-6e51-41e5-b64c-707764e26888/individual_traps/bait_questions/number_repeat_bait[1]
111,uuid:c855c764-ae13-436d-a250-f61b2e46a95f,uuid:c855c764-ae13-436d-a250-f61b2e46a95f/individual_traps/bait_questions/number_repeat_bait[1]
128,uuid:c855c764-ae13-436d-a250-f61b2e46a95f,uuid:c855c764-ae13-436d-a250-f61b2e46a95f/individual_traps/bait_questions/number_repeat_bait[2]
132,uuid:c855c764-ae13-436d-a250-f61b2e46a95f,uuid:c855c764-ae13-436d-a250-f61b2e46a95f/individual_traps/bait_questions/number_repeat_bait[3]
58,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468/individual_traps/bait_questions/number_repeat_bait[1]
90,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468/individual_traps/bait_questions/number_repeat_bait[2]
9,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/bait_questions/number_repeat_bait[1]
14,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:fb294ac9-1afb-4b0e-9878-095aa768541a,uuid:fb294ac9-1afb-4b0e-9878-095aa768541a/individual_traps/bait_questions/number_repeat_bait[1]
69,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:0a5d5402-05d2-43ee-a00c-21bb6df7a7dc,uuid:0a5d5402-05d2-43ee-a00c-21bb6df7a7dc/individual_traps/bait_questions/number_repeat_bait[1]
3,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/bait_questions/number_repeat_bait[1]
10,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/bait_questions/number_repeat_bait[2]
8,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/bait_questions/number_repeat_bait[3]
39,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/bait_questions/number_repeat_bait[4]
55,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363/individual_traps/bait_questions/number_repeat_bait[1]
62,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:82ca0e65-1fc8-4dc7-b041-570c11820a2c,uuid:82ca0e65-1fc8-4dc7-b041-570c11820a2c/individual_traps/bait_questions/number_repeat_bait[1]
200,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/bait_questions/number_repeat_bait[1]
207,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/bait_questions/number_repeat_bait[2]
,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d/individual_traps/bait_questions/number_repeat_bait[1]
200,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/bait_questions/number_repeat_bait[1]
202,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/bait_questions/number_repeat_bait[2]
207,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/bait_questions/number_repeat_bait[3]
220,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/bait_questions/number_repeat_bait[4]
111,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/bait_questions/number_repeat_bait[5]
10,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/bait_questions/number_repeat_bait[1]
23,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/bait_questions/number_repeat_bait[2]
30,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/bait_questions/number_repeat_bait[3]
,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6/individual_traps/bait_questions/number_repeat_bait[1]
10,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/bait_questions/number_repeat_bait[1]
23,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/bait_questions/number_repeat_bait[2]
30,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/bait_questions/number_repeat_bait[3]
,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8/individual_traps/bait_questions/number_repeat_bait[1]
202,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[1]
204,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[2]
206,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[3]
216,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[4]
123,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[5]
127,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/bait_questions/number_repeat_bait[6]
,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d/individual_traps/bait_questions/number_repeat_bait[1]
,uuid:a18e0c97-69e5-4c6f-ac46-ce489f38300f,uuid:a18e0c97-69e5-4c6f-ac46-ce489f38300f/individual_traps/bait_questions/number_repeat_bait[1]
23,uuid:ce282119-33ab-4365-9f73-b995172a478d,uuid:ce282119-33ab-4365-9f73-b995172a478d/individual_traps/bait_questions/number_repeat_bait[1]
